"","Cluster 1","Cluster 2"
"1",0.779583688887964,0.220416311112036
"2",0.836589502063371,0.163410497936629
"3",0.882627251699878,0.117372748300122
"4",0.820121277902659,0.179878722097341
"5",0.604518868315056,0.395481131684944
"6",0.783535750398838,0.216464249601162
"7",0.633238935440997,0.366761064559003
"8",0.783793555741104,0.216206444258896
"9",0.692171426576813,0.307828573423186
"10",0.805421415868979,0.194578584131021
"11",0.817746498604805,0.182253501395195
"12",0.539330647049885,0.460669352950116
"13",0.749766386981408,0.250233613018592
"14",0.709096701777677,0.290903298222323
"15",0.642621770756885,0.357378229243115
"16",0.728583986275217,0.271416013724783
"17",0.683110535660929,0.316889464339071
"18",0.636860430338681,0.363139569661319
"19",0.649100173382658,0.350899826617342
"20",0.66228357918809,0.33771642081191
"21",0.438137840955486,0.561862159044514
"22",0.853860963046557,0.146139036953443
"23",0.775248772645907,0.224751227354093
"24",0.797176013261932,0.202823986738068
"25",0.602239518766106,0.397760481233894
"26",0.785148963239233,0.214851036760767
"27",0.767692270994214,0.232307729005786
"28",0.330276615915113,0.669723384084887
"29",0.197303228660531,0.802696771339469
"30",0.204417151153976,0.795582848846024
"31",0.268026143572606,0.731973856427394
"32",0.18348291400027,0.81651708599973
"33",0.150915525836402,0.849084474163598
"34",0.214407614663644,0.785592385336356
"35",0.181890228157916,0.818109771842084
"36",0.227364079479656,0.772635920520344
"37",0.230874249497998,0.769125750502002
"38",0.174585420780591,0.825414579219409
"39",0.459022133154924,0.540977866845076
"40",0.192890641472808,0.807109358527192
"41",0.174255681640803,0.825744318359197
"42",0.201284005287594,0.798715994712406
"43",0.155443115175884,0.844556884824116
"44",0.209155222032078,0.790844777967922
"45",0.407192311189449,0.592807688810551
"46",0.311471905474127,0.688528094525873
"47",0.173390656111712,0.826609343888288
"48",0.346880702419672,0.653119297580328
"49",0.32777031965159,0.67222968034841
"50",0.454155673126724,0.545844326873276
"51",0.233341490542977,0.766658509457023
"52",0.203070848924745,0.796929151075255
"53",0.19159296172554,0.80840703827446
"54",0.32046490443962,0.67953509556038
"55",0.645829569690115,0.354170430309885
"56",0.179919922173229,0.820080077826771
"57",0.197324594278958,0.802675405721042
