OCC_CODE,Occupation title (click on the occupation title to view an occupational profile),Level,Employment,Employment RSE,Percent of total employment,Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,"2,910",6.50%,7.93%,$29.68,$30.95,"$64,380",1.80%
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,"1,970",10.20%,5.36%,$29.68,$30.34,"$63,100",2.40%
49-9041,Industrial Machinery Mechanics,detail,"1,260",11.30%,3.43%,$29.47,$29.66,"$61,700",1.40%
49-9043,"Maintenance Workers, Machinery",detail,-8,-8,-8,$35.12,$31.09,"$64,680",7.40%
49-9071,"Maintenance and Repair Workers, General",detail,830,4.70%,2.25%,$35.02,$32.59,"$67,790",1.00%
51-0000,Production Occupations,major,"1,500",6.10%,4.07%,$36.15,$34.02,"$70,770",1.30%
51-1011,First-Line Supervisors of Production and Operating Workers,detail,170,11.40%,0.46%,$49.34,$46.92,"$97,600",1.50%
51-4000,Metal Workers and Plastic Workers,minor,510,13.70%,1.40%,$36.25,$33.65,"$70,000",3.80%
51-4120,"Welding, Soldering, and Brazing Workers",broad,510,13.90%,1.38%,$36.25,$33.65,"$69,990",3.80%
51-4121,"Welders, Cutters, Solderers, and Brazers",detail,510,13.90%,1.38%,$36.25,$33.65,"$69,990",3.80%
51-8000,Plant and System Operators,minor,70,22.70%,0.19%,$30.17,$29.04,"$60,410",7.20%
51-8090,Miscellaneous Plant and System Operators,broad,70,23.90%,0.18%,$29.22,$28.71,"$59,710",7.50%
51-8099,"Plant and System Operators, All Other",detail,70,23.90%,0.18%,$29.22,$28.71,"$59,710",7.50%
51-9000,Other Production Occupations,minor,740,4.80%,2.03%,$29.76,$31.86,"$66,260",1.50%
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,240,6.90%,0.66%,$29.12,$28.81,"$59,920",1.70%
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detail,240,6.90%,0.66%,$29.12,$28.81,"$59,920",1.70%
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detail,470,4.70%,1.28%,$30.86,$33.53,"$69,730",2.10%
53-0000,Transportation and Material Moving Occupations,major,"2,760",5.90%,7.53%,$30.15,$31.06,"$64,600",1.60%
53-1040,First-Line Supervisors of Transportation and Material Moving Workers,broad,230,10.40%,0.63%,$47.93,$49.29,"$102,510",0.60%
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detail,230,10.40%,0.63%,$47.93,$49.29,"$102,510",0.60%
53-3000,Motor Vehicle Operators,minor,"1,210",9.20%,3.28%,$30.26,$29.14,"$60,620",2.30%
53-3030,Driver/Sales Workers and Truck Drivers,broad,"1,200",9.20%,3.27%,$30.26,$29.15,"$60,630",2.30%
